gbifid,anio,mes,taxonrank,scientificname,decimallatitude,decimallongitude,eventdate,individualcount,locality,stateprovince,issue,comunidad_autonoma,nombre_cientifico
3412789761,2004.0,4.0,species,"Delphinus delphis Linnaeus, 1758",43.33,-1.94,,,desconocido,gipuzkoa,geodetic_datum_invalid;geodetic_datum_assumed_wgs84;continent_derived_from_coordinates,país vasco,Delphinus delphis
3412789760,2002.0,8.0,family,Delphinidae,44.83,-3.25,,,desconocido,desconocido,geodetic_datum_invalid;geodetic_datum_assumed_wgs84,no asignado,
3412789759,2001.0,3.0,species,"Delphinus delphis Linnaeus, 1758",43.45,-2.75,,,desconocido,bizkaia,geodetic_datum_invalid;geodetic_datum_assumed_wgs84;continent_derived_from_coordinates,país vasco,Delphinus delphis
3412789758,2002.0,5.0,species,"Delphinus delphis Linnaeus, 1758",43.43,-2.81,,,desconocido,bizkaia,geodetic_datum_invalid;geodetic_datum_assumed_wgs84;continent_derived_from_coordinates,país vasco,Delphinus delphis
3412789757,2003.0,6.0,species,"Delphinus delphis Linnaeus, 1758",43.34,-1.93,,,desconocido,gipuzkoa,geodetic_datum_invalid;geodetic_datum_assumed_wgs84;continent_derived_from_coordinates,país vasco,Delphinus delphis
3412789755,2004.0,2.0,species,"Delphinus delphis Linnaeus, 1758",43.45,-2.75,,,desconocido,bizkaia,geodetic_datum_invalid;geodetic_datum_assumed_wgs84;continent_derived_from_coordinates,país vasco,Delphinus delphis
3412789754,2004.0,8.0,species,"Balaenoptera physalus (Linnaeus, 1758)",43.69,-2.87,,,desconocido,desconocido,geodetic_datum_invalid;geodetic_datum_assumed_wgs84,no asignado,Balaenoptera physalus
3412789753,2002.0,8.0,species,"Stenella coeruleoalba (Meyen, 1833)",43.79,-3.47,,,desconocido,desconocido,geodetic_datum_invalid;geodetic_datum_assumed_wgs84,no asignado,Stenella coeruleoalba
3412789752,2002.0,8.0,species,"Delphinus delphis Linnaeus, 1758",43.9,-3.56,,,desconocido,desconocido,geodetic_datum_invalid;geodetic_datum_assumed_wgs84,no asignado,Delphinus delphis
3412789751,2003.0,1.0,species,"Stenella coeruleoalba (Meyen, 1833)",43.4,-2.64,,,desconocido,bizkaia,geodetic_datum_invalid;geodetic_datum_assumed_wgs84;continent_derived_from_coordinates,país vasco,Stenella coeruleoalba
3412789750,2004.0,2.0,family,Delphinidae,43.39,-3.0,,,desconocido,bizkaia,geodetic_datum_invalid;geodetic_datum_assumed_wgs84;continent_derived_from_coordinates,país vasco,
3412789749,2004.0,8.0,species,"Balaenoptera physalus (Linnaeus, 1758)",43.68,-2.89,,,desconocido,desconocido,geodetic_datum_invalid;geodetic_datum_assumed_wgs84,no asignado,Balaenoptera physalus
3412789748,2005.0,8.0,species,"Delphinus delphis Linnaeus, 1758",43.45,-2.75,,,desconocido,bizkaia,geodetic_datum_invalid;geodetic_datum_assumed_wgs84;continent_derived_from_coordinates,país vasco,Delphinus delphis
3412789747,2002.0,8.0,species,"Globicephala melas (Traill, 1809)",43.78,-3.23,,,desconocido,desconocido,geodetic_datum_invalid;geodetic_datum_assumed_wgs84,no asignado,Globicephala melas
3412789746,2005.0,9.0,species,"Delphinus delphis Linnaeus, 1758",43.43,-2.26,,,desconocido,desconocido,geodetic_datum_invalid;geodetic_datum_assumed_wgs84,no asignado,Delphinus delphis
