gbifid,anio,mes,taxonrank,scientificname,decimallatitude,decimallongitude,eventdate,individualcount,locality,stateprovince,issue,comunidad_autonoma,nombre_cientifico
3412789905,2005.0,5.0,species,"Delphinus delphis Linnaeus, 1758",43.59,-2.75,,,desconocido,desconocido,geodetic_datum_invalid;geodetic_datum_assumed_wgs84,no asignado,Delphinus delphis
3412789904,2005.0,2.0,species,"Tursiops truncatus (Montagu, 1821)",43.29,-2.4,,,desconocido,bizkaia,geodetic_datum_invalid;geodetic_datum_assumed_wgs84;continent_derived_from_coordinates,país vasco,Tursiops truncatus
3412789903,2017.0,5.0,species,"Delphinus delphis Linnaeus, 1758",43.76,-2.86,,,desconocido,desconocido,geodetic_datum_invalid;geodetic_datum_assumed_wgs84,no asignado,Delphinus delphis
3412789902,2002.0,8.0,species,"Ziphius cavirostris G.Cuvier, 1823",43.66,-3.01,,,desconocido,desconocido,geodetic_datum_invalid;geodetic_datum_assumed_wgs84,no asignado,Ziphius cavirostris
3412789901,2005.0,8.0,species,"Ziphius cavirostris G.Cuvier, 1823",43.64,-2.41,,,desconocido,desconocido,geodetic_datum_invalid;geodetic_datum_assumed_wgs84,no asignado,Ziphius cavirostris
3412789900,2002.0,10.0,family,Delphinidae,43.43,-2.93,,,desconocido,bizkaia,geodetic_datum_invalid;geodetic_datum_assumed_wgs84;continent_derived_from_coordinates,país vasco,
3412789899,2002.0,2.0,species,"Delphinus delphis Linnaeus, 1758",43.45,-2.75,,,desconocido,bizkaia,geodetic_datum_invalid;geodetic_datum_assumed_wgs84;continent_derived_from_coordinates,país vasco,Delphinus delphis
3412789898,2005.0,6.0,species,"Tursiops truncatus (Montagu, 1821)",43.31,-2.36,,,desconocido,gipuzkoa,geodetic_datum_invalid;geodetic_datum_assumed_wgs84;continent_derived_from_coordinates,país vasco,Tursiops truncatus
3412789897,2004.0,5.0,species,"Stenella coeruleoalba (Meyen, 1833)",43.62,-2.56,,,desconocido,desconocido,geodetic_datum_invalid;geodetic_datum_assumed_wgs84,no asignado,Stenella coeruleoalba
3412789896,2005.0,8.0,species,"Ziphius cavirostris G.Cuvier, 1823",43.67,-2.27,,,desconocido,desconocido,geodetic_datum_invalid;geodetic_datum_assumed_wgs84,no asignado,Ziphius cavirostris
